column_name,dtype
COLE_MCPIO_UBICACION_CANDELARIA,bool
COLE_MCPIO_UBICACION_CANTAGALLO,bool
COLE_MCPIO_UBICACION_CAPARRAPÍ,bool
COLE_MCPIO_UBICACION_CAPITANEJO,bool
COLE_MCPIO_UBICACION_CARACOLÍ,bool
COLE_MCPIO_UBICACION_CARAMANTA,bool
COLE_MCPIO_UBICACION_CARCASÍ,bool
COLE_MCPIO_UBICACION_CAREPA,bool
COLE_MCPIO_UBICACION_CARMEN DE APICALÁ,bool
COLE_MCPIO_UBICACION_CARMEN DE CARUPA,bool
COLE_MCPIO_UBICACION_CARMEN DEL DARIÉN,bool
COLE_MCPIO_UBICACION_CAROLINA,bool
COLE_MCPIO_UBICACION_CARTAGENA DE INDIAS,bool
COLE_MCPIO_UBICACION_CARTAGENA DEL CHAIRÁ,bool
COLE_MCPIO_UBICACION_CARTAGO,bool
COLE_MCPIO_UBICACION_CASABIANCA,bool
COLE_MCPIO_UBICACION_CASTILLA LA NUEVA,bool
COLE_MCPIO_UBICACION_CAUCASIA,bool
COLE_MCPIO_UBICACION_CAÑASGORDAS,bool
COLE_MCPIO_UBICACION_CEPITÁ,bool
COLE_MCPIO_UBICACION_CERETÉ,bool
COLE_MCPIO_UBICACION_CERINZA,bool
COLE_MCPIO_UBICACION_CERRITO,bool
COLE_MCPIO_UBICACION_CERRO DE SAN ANTONIO,bool
COLE_MCPIO_UBICACION_CHACHAGÜÍ,bool
COLE_MCPIO_UBICACION_CHAGUANÍ,bool
COLE_MCPIO_UBICACION_CHALÁN,bool
COLE_MCPIO_UBICACION_CHAPARRAL,bool
COLE_MCPIO_UBICACION_CHARALÁ,bool
COLE_MCPIO_UBICACION_CHARTA,bool
COLE_MCPIO_UBICACION_CHIGORODÓ,bool
COLE_MCPIO_UBICACION_CHIMA,bool
COLE_MCPIO_UBICACION_CHIMICHAGUA,bool
COLE_MCPIO_UBICACION_CHIMÁ,bool
COLE_MCPIO_UBICACION_CHINAVITA,bool
COLE_MCPIO_UBICACION_CHINCHINÁ,bool
COLE_MCPIO_UBICACION_CHINÁCOTA,bool
COLE_MCPIO_UBICACION_CHINÚ,bool
COLE_MCPIO_UBICACION_CHIPAQUE,bool
COLE_MCPIO_UBICACION_CHIPATÁ,bool
COLE_MCPIO_UBICACION_CHIQUINQUIRÁ,bool
COLE_MCPIO_UBICACION_CHIRIGUANÁ,bool
COLE_MCPIO_UBICACION_CHISCAS,bool
COLE_MCPIO_UBICACION_CHITA,bool
COLE_MCPIO_UBICACION_CHITAGÁ,bool
COLE_MCPIO_UBICACION_CHITARAQUE,bool
COLE_MCPIO_UBICACION_CHIVATÁ,bool
COLE_MCPIO_UBICACION_CHIVOLO,bool
COLE_MCPIO_UBICACION_CHIVOR,bool
COLE_MCPIO_UBICACION_CHOACHÍ,bool
COLE_MCPIO_UBICACION_CHOCONTÁ,bool
COLE_MCPIO_UBICACION_CHÁMEZA,bool
COLE_MCPIO_UBICACION_CHÍA,bool
COLE_MCPIO_UBICACION_CHÍQUIZA,bool
COLE_MCPIO_UBICACION_CICUCO,bool
COLE_MCPIO_UBICACION_CIMITARRA,bool
COLE_MCPIO_UBICACION_CIRCASIA,bool
COLE_MCPIO_UBICACION_CISNEROS,bool
COLE_MCPIO_UBICACION_CIUDAD BOLÍVAR,bool
COLE_MCPIO_UBICACION_CIÉNAGA,bool
COLE_MCPIO_UBICACION_CIÉNAGA DE ORO,bool
COLE_MCPIO_UBICACION_CIÉNEGA,bool
COLE_MCPIO_UBICACION_CLEMENCIA,bool
COLE_MCPIO_UBICACION_COCORNÁ,bool
COLE_MCPIO_UBICACION_COELLO,bool
COLE_MCPIO_UBICACION_COGUA,bool
COLE_MCPIO_UBICACION_COLOMBIA,bool
COLE_MCPIO_UBICACION_COLOSÓ,bool
